LAD21CD,GDP2021
E06000001,17512.00
E06000004,31393.00
E06000002,24821.00
E06000003,16091.00
E06000005,26372.00
E06000047,21603.00
E06000057,20173.00
E08000021,36424.00
E08000022,25800.00
E08000023,15950.00
E08000037,26175.00
E08000024,27304.00
E06000063,25043.00
E06000064,31200.00
E08000003,53214.00
E08000006,36854.00
E08000009,46572.00
E08000007,28197.00
E08000008,17943.00
E08000001,24518.00
E08000010,19993.00
E08000002,21342.00
E08000004,19599.00
E08000005,20025.00
E06000008,25280.00
E06000009,22815.00
E07000121,24594.00
E07000128,18940.00
E07000119,36146.00
E07000123,34518.00
E07000124,36886.00
E07000126,41245.00
E07000117,25614.00
E07000120,21299.00
E07000122,21459.00
E07000125,18355.00
E07000118,23494.00
E07000127,28252.00
E06000007,45238.00
E06000049,38127.00
E06000050,36368.00
E06000006,37200.00
E08000011,29611.00
E08000013,19710.00
E08000012,34545.00
E08000014,19944.00
E08000015,20555.00
E06000010,26905.00
E06000011,26780.00
E06000012,27788.00
E06000013,37984.00
E06000014,36795.00
E06000065,30474.00
E08000016,20650.00
E08000017,22895.00
E08000018,21842.00
E08000019,28815.00
E08000032,21746.00
E08000035,38817.00
E08000033,30256.00
E08000034,21130.00
E08000036,26639.00
E06000015,34626.00
E07000033,31191.00
E07000034,30542.00
E07000038,19587.00
E07000032,26678.00
E07000035,26543.00
E07000036,19676.00
E07000037,20488.00
E07000039,32773.00
E06000018,36792.00
E07000170,26264.00
E07000171,24143.00
E07000174,19187.00
E07000175,25020.00
E07000172,23579.00
E07000173,17360.00
E07000176,28990.00
E06000016,28448.00
E06000017,25513.00
E07000129,37703.00
E07000130,24605.00
E07000131,26343.00
E07000132,25620.00
E07000133,28241.00
E07000134,41715.00
E07000135,17060.00
E06000062,35241.00
E06000061,23654.00
E07000136,23758.00
E07000137,21037.00
E07000138,31183.00
E07000139,27959.00
E07000140,28336.00
E07000141,23979.00
E07000142,22268.00
E06000019,25561.00
E07000234,32989.00
E07000235,24880.00
E07000236,26631.00
E07000237,34294.00
E07000238,28151.00
E07000239,18221.00
E07000218,50699.00
E07000219,19576.00
E07000220,30226.00
E07000221,40261.00
E07000222,46099.00
E06000020,32708.00
E06000051,25036.00
E06000021,28456.00
E07000192,25668.00
E07000193,35070.00
E07000194,29382.00
E07000195,23721.00
E07000196,23754.00
E07000197,29607.00
E07000198,20549.00
E07000199,28699.00
E08000025,28305.00
E08000029,44287.00
E08000026,31578.00
E08000027,19545.00
E08000028,21518.00
E08000030,19400.00
E08000031,23413.00
E06000031,35084.00
E07000008,54176.00
E07000009,26823.00
E07000010,21553.00
E07000011,30234.00
E07000012,39753.00
E07000200,23471.00
E07000202,34382.00
E07000203,25730.00
E07000244,25294.00
E07000245,34071.00
E07000144,34308.00
E07000145,21211.00
E07000148,31724.00
E07000146,23426.00
E07000147,19147.00
E07000143,22059.00
E07000149,24473.00
E06000032,27992.00
E07000095,26889.00
E07000096,36960.00
E07000098,49106.00
E07000099,34415.00
E07000102,52118.00
E07000103,50626.00
E07000240,34503.00
E07000241,53198.00
E07000242,31529.00
E07000243,32234.00
E06000055,27359.00
E06000056,23786.00
E06000033,19796.00
E06000034,30113.00
E07000067,27143.00
E07000071,27895.00
E07000076,17074.00
E07000072,34176.00
E07000073,26748.00
E07000077,29606.00
E07000068,44955.00
E07000070,34974.00
E07000074,20696.00
E07000066,37820.00
E07000069,15069.00
E07000075,19390.00
E09000001,10682565.00
E09000007,162239.00
E09000033,387868.00
E09000013,66378.00
E09000020,68414.00
E09000032,25883.00
E09000012,43025.00
E09000025,22954.00
E09000030,117114.00
E09000014,17944.00
E09000019,96145.00
E09000023,14994.00
E09000028,69497.00
E09000022,41654.00
E09000004,26902.00
E09000011,21916.00
E09000002,18584.00
E09000016,26336.00
E09000026,18680.00
E09000031,17948.00
E09000010,26749.00
E09000006,25718.00
E09000008,29539.00
E09000021,30599.00
E09000024,29653.00
E09000029,23851.00
E09000003,26766.00
E09000005,28698.00
E09000009,27887.00
E09000015,23293.00
E09000017,40212.00
E09000018,47994.00
E09000027,38184.00
E06000036,43971.00
E06000037,58597.00
E06000038,56597.00
E06000039,65271.00
E06000040,54564.00
E06000041,53945.00
E06000042,53297.00
E06000060,33841.00
E07000177,35769.00
E07000178,49734.00
E07000179,35328.00
E07000180,39760.00
E07000181,29916.00
E06000043,37822.00
E07000061,23809.00
E07000062,21261.00
E07000063,22941.00
E07000064,19443.00
E07000065,20892.00
E07000207,54963.00
E07000209,45799.00
E07000212,79292.00
E07000213,37809.00
E07000214,45936.00
E07000216,31663.00
E07000217,33386.00
E07000208,25011.00
E07000210,50384.00
E07000211,44262.00
E07000215,26332.00
E07000223,20957.00
E07000224,18483.00
E07000225,32043.00
E07000229,42508.00
E07000226,47853.00
E07000227,27756.00
E07000228,27254.00
E06000044,36267.00
E06000045,39528.00
E06000046,23072.00
E07000086,36801.00
E07000087,31612.00
E07000088,17159.00
E07000090,23675.00
E07000085,25628.00
E07000091,31464.00
E07000093,32119.00
E07000094,48062.00
E07000084,42521.00
E07000089,35372.00
E07000092,68805.00
E06000035,24683.00
E07000107,37407.00
E07000109,21250.00
E07000113,26455.00
E07000106,26366.00
E07000108,24541.00
E07000112,22451.00
E07000114,18621.00
E07000105,27526.00
E07000110,30546.00
E07000111,39398.00
E07000115,43024.00
E07000116,33977.00
E06000023,40654.00
E06000022,27617.00
E06000024,25669.00
E06000025,49102.00
E07000078,34635.00
E07000079,45035.00
E07000080,31022.00
E07000081,29099.00
E07000082,27296.00
E07000083,40041.00
E06000030,45557.00
E06000054,28838.00
E06000066,25579.00
E06000058,31688.00
E06000059,25936.00
E06000052,25031.00
E06000053,31051.00
E06000026,26914.00
E06000027,19015.00
E07000040,24697.00
E07000041,51035.00
E07000042,21266.00
E07000043,28287.00
E07000044,29298.00
E07000045,22930.00
E07000046,18507.00
E07000047,18248.00
W06000001,19610.00
W06000002,24595.00
W06000003,19225.00
W06000004,24121.00
W06000008,22825.00
W06000009,23120.00
W06000010,22112.00
W06000016,21250.00
W06000024,20536.00
W06000018,20496.00
W06000019,17360.00
W06000020,21471.00
W06000012,21683.00
W06000013,26283.00
W06000011,26516.00
W06000021,25367.00
W06000022,28543.00
W06000014,17427.00
W06000015,39137.00
W06000005,31433.00
W06000006,29441.00
W06000023,20066.00
S12000033,45815.00
S12000034,28741.00
S12000017,29795.00
S12000020,27720.00
S12000021,21198.00
S12000035,28690.00
S12000013,24959.00
S12000023,27394.00
S12000027,36322.00
S12000041,21988.00
S12000042,28253.00
S12000005,25535.00
S12000047,23939.00
S12000010,20738.00
S12000019,21441.00
S12000036,54150.00
S12000014,29060.00
S12000048,30475.00
S12000030,32404.00
S12000040,31338.00
S12000039,24940.00
S12000045,16677.00
S12000049,40761.00
S12000011,15595.00
S12000038,30635.00
S12000018,17974.00
S12000050,28733.00
S12000026,24861.00
S12000006,27373.00
S12000008,19487.00
S12000028,24034.00
S12000029,24295.00
N09000003,46403.00
N09000002,22681.00
N09000010,21617.00
N09000011,16864.00
N09000005,23908.00
N09000009,28446.00
N09000004,19804.00
N09000001,27770.00
N09000007,27196.00
N09000008,21716.00
N09000006,24618.00
